id,분류,접수일,만족도,내용,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7
81,배송문의,2026-09-10 23:00:00,2,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 81)",1.932,-2.064,2.815,-3.487,5.067,0.591,-0.856,-7.533
82,결제오류,2026-09-03 03:00:00,3,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 82)",2.050,1.598,-3.315,-3.077,-3.191,-1.236,1.421,-3.129
83,환불요청,2026-09-08 15:00:00,4,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 83)",-2.633,-0.159,-2.350,1.840,1.192,4.173,-4.379,3.658
84,배송문의,2026-09-17 02:00:00,3,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 84)",1.159,-1.794,1.729,-4.401,5.062,-0.404,-1.697,-6.956
85,결제오류,2026-09-12 03:00:00,5,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 85)",3.191,1.317,-2.936,-3.654,-3.230,-0.836,1.536,-4.333
86,배송문의,2026-09-01 04:00:00,4,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 86)",0.519,-0.721,2.322,-4.894,6.948,-0.494,-0.974,-6.980
87,교환요청,2026-09-06 06:00:00,2,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 87)",-5.445,5.287,-3.521,-4.248,1.102,2.696,-4.950,-1.108
88,배송문의,2026-09-05 14:00:00,1,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 88)",1.908,-1.523,3.034,-4.427,5.564,-1.211,-0.012,-8.632
89,결제오류,2026-09-19 12:00:00,,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 89)",1.459,1.415,-2.750,-3.153,-3.001,-1.454,1.185,-3.609
90,배송문의,2026-09-14 06:00:00,,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 90)",1.160,-1.548,1.999,-3.859,5.024,-0.152,-0.642,-6.297
91,교환요청,2026-09-10 12:00:00,2,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 91)",-4.779,4.845,-2.092,-4.464,0.856,2.727,-4.906,-0.699
92,배송문의,2026-09-15 15:00:00,3,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 92)",0.339,-1.650,2.000,-3.171,6.405,-0.383,-1.069,-6.869
93,환불요청,2026-09-09 13:00:00,5,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 93)",-4.053,-0.021,-2.678,2.126,1.448,4.259,-2.390,3.561
94,배송문의,2026-09-13 07:00:00,5,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 94)",1.144,-2.390,2.398,-5.243,6.089,-0.892,-0.736,-8.381
95,결제오류,2026-09-02 13:00:00,5,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 95)",3.409,1.379,-3.739,-3.435,-3.067,-1.453,2.011,-2.705
96,결제오류,2026-09-11 20:00:00,5,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 96)",3.157,1.480,-4.217,-4.635,-2.228,-0.600,0.879,-3.155
97,배송문의,2026-09-11 00:00:00,2,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 97)",1.428,-1.413,2.970,-4.096,5.697,-0.949,-0.933,-6.975
98,배송문의,2026-09-08 22:00:00,5,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 98)",1.605,-1.550,1.280,-4.106,6.061,0.136,-0.926,-7.756
99,결제오류,2026-09-10 01:00:00,3,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 99)",1.821,0.834,-3.722,-5.271,-3.070,0.529,1.542,-2.980
100,쿠폰문의,2026-09-04 06:00:00,2,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 100)",-3.134,3.114,-0.979,0.073,1.387,4.872,-2.800,1.037
101,쿠폰문의,2026-09-06 16:00:00,,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 101)",-2.532,3.326,-1.443,0.609,0.881,4.339,-1.184,-0.570
102,배송문의,2026-09-17 01:00:00,3,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 102)",2.204,-0.869,1.732,-3.851,6.122,-0.565,-1.356,-7.681
103,배송문의,2026-09-09 02:00:00,3,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 103)",0.484,-2.467,3.075,-3.428,6.186,-0.397,-2.355,-7.145
104,환불요청,2026-09-10 18:00:00,4,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 104)",-2.309,0.430,-1.814,1.396,0.144,3.784,-2.474,3.527
105,환불요청,2026-09-16 13:00:00,5,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 105)",-2.771,0.513,-1.941,0.680,0.699,4.221,-3.680,4.005
106,쿠폰문의,2026-09-07 13:00:00,1,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 106)",-3.734,3.051,-0.738,0.746,1.997,4.370,-1.594,1.263
107,교환요청,2026-09-07 20:00:00,4,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 107)",-3.721,4.977,-3.592,-4.233,1.225,2.829,-5.127,-0.455
108,배송문의,2026-09-11 05:00:00,4,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 108)",0.480,-1.582,1.888,-3.815,6.270,-0.487,-1.477,-6.570
109,쿠폰문의,2026-09-16 07:00:00,,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 109)",-3.328,3.207,-1.980,1.052,2.525,4.859,-1.632,-0.639
110,쿠폰문의,2026-09-09 04:00:00,5,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 110)",-4.059,3.481,-0.766,0.322,1.793,4.849,-2.222,-0.565
111,결제오류,2026-09-02 15:00:00,4,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 111)",2.848,2.347,-4.045,-4.959,-3.567,-0.892,0.773,-2.625
112,결제오류,2026-09-13 06:00:00,2,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 112)",2.320,1.320,-3.096,-3.723,-3.052,-1.355,1.731,-3.695
113,환불요청,2026-09-11 09:00:00,2,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 113)",-2.161,-0.035,-2.400,2.609,-0.671,4.066,-3.986,3.619
114,쿠폰문의,2026-09-16 00:00:00,4,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 114)",-3.980,3.973,-1.688,1.124,1.732,4.707,-1.986,0.285
115,결제오류,2026-09-01 23:00:00,,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 115)",2.272,1.335,-3.840,-4.312,-4.076,-0.977,1.659,-2.913
116,환불요청,2026-09-11 07:00:00,1,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 116)",-3.086,0.716,-2.963,1.298,1.279,1.804,-3.351,3.782
117,환불요청,2026-09-03 11:00:00,,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 117)",-2.436,0.582,-2.436,1.042,1.922,3.279,-3.803,3.821
118,배송문의,2026-09-01 23:00:00,5,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 118)",1.499,-1.044,2.290,-4.514,5.447,-0.657,-0.787,-7.967
119,배송문의,2026-09-16 01:00:00,2,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 119)",1.423,-1.255,0.526,-4.391,5.389,-1.032,0.153,-7.497
120,교환요청,2026-09-05 11:00:00,2,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 120)",-4.028,4.580,-2.767,-2.855,0.906,2.927,-5.031,-1.228
121,환불요청,2026-09-07 10:00:00,5,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 121)",-3.299,0.805,-1.807,1.141,0.906,2.747,-2.697,3.881
122,결제오류,2026-09-01 08:00:00,3,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 122)",1.834,2.044,-3.082,-2.561,-2.894,-1.234,1.144,-4.328
123,결제오류,2026-09-20 03:00:00,4,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 123)",2.255,1.086,-3.997,-4.155,-3.980,-1.856,0.438,-2.491
124,쿠폰문의,2026-09-18 12:00:00,3,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 124)",-2.784,4.854,-1.382,-0.073,2.428,4.522,-2.845,-0.804
125,쿠폰문의,2026-09-16 14:00:00,3,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 125)",-2.829,3.330,-1.518,0.092,2.103,4.565,-1.330,-0.556
126,교환요청,2026-09-10 10:00:00,3,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 126)",-4.726,4.372,-3.308,-3.727,1.225,3.588,-4.618,-1.317
127,배송문의,2026-09-15 18:00:00,5,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 127)",1.744,-1.279,1.956,-3.793,6.400,-1.251,-0.911,-6.977
128,결제오류,2026-09-09 19:00:00,3,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 128)",3.080,1.072,-2.714,-3.561,-3.546,-0.657,0.889,-4.299
129,결제오류,2026-09-06 01:00:00,4,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 129)",3.605,1.566,-3.349,-3.856,-2.692,-1.665,0.992,-3.849
130,쿠폰문의,2026-09-21 22:00:00,,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 130)",-3.475,4.135,-0.937,1.356,0.685,4.264,-1.037,-0.040
131,배송문의,2026-09-07 19:00:00,3,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 131)",2.037,-1.124,2.153,-3.933,5.697,-0.127,-0.354,-7.228
132,환불요청,2026-09-17 03:00:00,2,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 132)",-2.689,-0.015,-1.853,2.188,0.259,3.280,-3.959,3.317
133,환불요청,2026-09-12 04:00:00,1,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 133)",-2.977,0.922,-2.214,1.958,0.235,2.672,-2.585,4.426
134,쿠폰문의,2026-09-06 01:00:00,2,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 134)",-2.684,3.739,-0.990,0.499,1.915,3.827,-2.529,-0.808
135,배송문의,2026-09-21 13:00:00,4,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 135)",1.655,-1.964,1.813,-3.478,5.505,-1.368,-1.535,-6.989
136,배송문의,2026-09-12 09:00:00,3,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 136)",0.773,-0.173,2.254,-4.018,4.443,-0.571,-0.419,-7.178
137,쿠폰문의,2026-09-02 00:00:00,3,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 137)",-3.633,4.640,-0.205,1.349,1.617,4.405,-1.059,-1.191
138,환불요청,2026-09-15 23:00:00,4,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 138)",-3.824,0.319,-1.538,2.248,-0.309,2.038,-4.076,4.172
139,교환요청,2026-09-06 11:00:00,1,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 139)",-4.652,4.864,-1.786,-4.051,0.759,3.812,-4.892,-0.711
140,배송문의,2026-09-04 10:00:00,2,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 140)",1.276,-2.339,2.176,-4.634,6.178,-0.864,-0.773,-8.381
141,환불요청,2026-09-18 17:00:00,5,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 141)",-4.203,0.029,-2.399,1.200,0.297,4.317,-2.144,5.579
142,결제오류,2026-09-09 08:00:00,4,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 142)",2.402,1.339,-3.606,-4.195,-3.923,-2.070,1.448,-3.313
143,환불요청,2026-09-10 19:00:00,1,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 143)",-2.156,0.534,-2.291,1.540,1.057,3.000,-3.495,4.044
144,결제오류,2026-09-21 02:00:00,1,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 144)",1.363,0.660,-4.924,-4.538,-2.752,-0.022,1.419,-3.393
145,환불요청,2026-09-03 22:00:00,2,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 145)",-4.175,0.128,-0.922,1.530,0.641,3.596,-2.369,4.112
146,교환요청,2026-09-05 22:00:00,,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 146)",-4.885,6.131,-2.218,-4.235,1.919,3.543,-4.531,-0.848
147,교환요청,2026-09-21 04:00:00,5,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 147)",-6.058,4.689,-2.662,-4.034,0.964,3.367,-4.884,-0.460
148,환불요청,2026-09-13 02:00:00,3,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 148)",-3.705,1.477,-3.191,0.131,1.266,4.157,-3.651,3.395
149,환불요청,2026-09-13 04:00:00,5,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 149)",-3.615,0.502,-2.581,2.037,-0.163,3.606,-3.579,4.842
150,결제오류,2026-09-03 19:00:00,5,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 150)",2.270,1.254,-3.249,-3.548,-2.623,-0.751,0.556,-2.474
151,환불요청,2026-09-04 21:00:00,4,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 151)",-3.874,-0.103,-3.271,0.354,0.140,3.754,-3.590,4.167
152,교환요청,2026-09-10 15:00:00,5,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 152)",-5.018,5.446,-2.255,-4.465,0.174,2.224,-3.821,-0.616
153,결제오류,2026-09-05 05:00:00,3,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 153)",2.996,1.322,-2.760,-4.068,-3.248,-1.348,1.475,-2.162
154,환불요청,2026-09-06 09:00:00,5,"어제 받은 상자가 한쪽이 찌그러져 있었고, 안의 물건에도 눌린 자국이 남아 있습니다. 사진은 찍어 두었으니 필요하시면 보내 드리겠습니다. 같은 물건으로 바꿔 주시면 좋겠습니다 (접수번호 154)",-3.613,0.552,-1.791,1.734,0.886,2.823,-2.744,4.505
155,교환요청,2026-09-04 23:00:00,5,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 155)",-4.276,4.379,-3.026,-5.209,0.865,2.772,-5.876,-0.453
156,교환요청,2026-09-02 18:00:00,3,"주문한 것과 다른 색이 왔습니다. 주문 내역에는 남색으로 되어 있는데 검정이 왔어요. 포장은 뜯지 않은 그대로이고, 받은 날은 지난주 금요일입니다. 회수는 언제 오시는지 알려 주세요 (접수번호 156)",-5.181,5.139,-2.538,-3.513,-0.084,3.061,-3.877,-0.663
157,환불요청,2026-09-10 17:00:00,5,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 157)",-2.716,1.678,-2.788,1.026,0.665,4.251,-2.824,5.241
158,결제오류,2026-09-21 10:00:00,4,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 158)",2.625,1.616,-4.723,-3.500,-2.900,-1.502,0.745,-4.701
159,쿠폰문의,2026-09-21 09:00:00,,"""빠른 배송"" 정말 감사합니다. 다만 영수증이 안 들어 있어서 따로 받을 수 있을까요. 회사에 내야 해서 사업자 번호가 찍힌 것이 필요하고, 메일로 보내 주셔도 괜찮습니다 (접수번호 159)",-3.783,3.369,-0.735,0.585,1.645,5.257,-2.453,-1.111
160,환불요청,2026-09-16 20:00:00,2,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 160)",-3.269,0.304,-2.338,2.017,0.496,3.786,-3.238,3.700
161,결제오류,2026-09-17 16:00:00,5,"결제는 어제 됐다고 문자가 왔는데 아직 배송 시작이 안 뜹니다. 언제쯤 출발하나요. 주말에는 집을 비우게 되어서, 가능하면 금요일 안에 받았으면 하는데 어려울까요 (접수번호 161)",2.354,2.227,-3.962,-4.265,-3.207,-0.779,0.136,-3.026
